split,h,model_a,model_b,loss,n_points,mean_loss_diff,dm_stat,dm_hln,p_value,region
test,3,chronos,seasonal_naive,se,777,-1.5892762389377082,-1.0613761933084884,-1.0579609915279042,0.2904024443872299,igp
test,3,gru,seasonal_naive,se,777,0.2414196228044616,0.1467463651596496,0.1462741777761873,0.8837429391827993,igp
test,3,random_forest,seasonal_naive,se,777,-1.3503407958338187,-0.9427406816721526,-0.93970721467433,0.3476601698815253,igp
test,4,random_forest,xgboost,se,1225,-1.9810261628783523,-1.181142372331587,-1.177767581169758,0.2391182191525369,igp
test,4,random_forest,chronos,se,1225,0.4851564551120637,1.0163871414375043,1.0134830932700098,0.3110297619951068,igp
test,4,random_forest,gru,se,1225,-1.85468260451804,-2.7143041842405555,-2.7065488026827778,0.0068931913597238,igp
test,4,chronos,gru,se,1225,-2.339839059630103,-2.747911585257054,-2.740060179746043,0.0062320834855913,igp
test,4,chronos,lstm,se,1225,-0.9811623597984732,-1.850152835581085,-1.8448665300654965,0.0652984216782628,igp
test,4,gru,lstm,se,1225,1.3586766998316298,3.2452073698487887,3.235935077696193,0.0012449036814745,igp
test,4,chronos,seasonal_naive,se,1225,-0.6844934308531387,-0.8736474773291978,-0.8711512686975282,0.3838423923584582,igp
test,4,gru,seasonal_naive,se,1225,1.6553456287769646,1.2745300943659417,1.2708884733397987,0.2040098084137769,igp
test,4,random_forest,seasonal_naive,se,1225,-0.1993369757410748,-0.2290915364823074,-0.2284369700975251,0.8193447085672765,igp
